#
#    Period, Days, T      Frequency, 1/Days, v      Periodogram, I(v)
#
  0.586000000000000E+05   0.170648464163823E-04   0.491766758884731E+00
  0.293000000000000E+05   0.341296928327645E-04   0.200198996828881E+01
  0.195333333333333E+05   0.511945392491468E-04   0.462146715315067E+01
  0.146500000000000E+05   0.682593856655290E-04   0.845712068167097E+01
  0.117200000000000E+05   0.853242320819113E-04   0.135731626277173E+02
  0.976666666666667E+04   0.102389078498294E-03   0.199235880123119E+02
  0.837142857142857E+04   0.119453924914676E-03   0.272920244252248E+02
  0.732500000000000E+04   0.136518771331058E-03   0.352551923966582E+02
  0.651111111111111E+04   0.153583617747440E-03   0.431865903500631E+02
  0.586000000000000E+04   0.170648464163823E-03   0.503093502913786E+02
  0.532727272727273E+04   0.187713310580205E-03   0.557970110821450E+02
  0.488333333333333E+04   0.204778156996587E-03   0.589087894698317E+02
  0.450769230769231E+04   0.221843003412969E-03   0.591322850137495E+02
  0.418571428571429E+04   0.238907849829352E-03   0.563014351777185E+02
  0.390666666666667E+04   0.255972696245734E-03   0.506584818228413E+02
  0.366250000000000E+04   0.273037542662116E-03   0.428382047324968E+02
  0.344705882352941E+04   0.290102389078498E-03   0.337710799838142E+02
  0.325555555555556E+04   0.307167235494881E-03   0.245233742973390E+02
  0.308421052631579E+04   0.324232081911263E-03   0.161063911713449E+02
  0.293000000000000E+04   0.341296928327645E-03   0.929952150876743E+01
  0.279047619047619E+04   0.358361774744027E-03   0.452827365055442E+01
  0.266363636363636E+04   0.375426621160410E-03   0.182280305091235E+01
  0.254782608695652E+04   0.392491467576792E-03   0.865610459690831E+00
  0.244166666666667E+04   0.409556313993174E-03   0.111031746232480E+01
  0.234400000000000E+04   0.426621160409556E-03   0.193793886118518E+01
  0.225384615384615E+04   0.443686006825939E-03   0.280854042378972E+01
  0.217037037037037E+04   0.460750853242321E-03   0.337050593374947E+01
  0.209285714285714E+04   0.477815699658703E-03   0.350405162509496E+01
  0.202068965517241E+04   0.494880546075085E-03   0.329564988925385E+01
  0.195333333333333E+04   0.511945392491468E-03   0.296003529989534E+01
  0.189032258064516E+04   0.529010238907850E-03   0.273849694354512E+01
  0.183125000000000E+04   0.546075085324232E-03   0.280682083236704E+01
  0.177575757575758E+04   0.563139931740614E-03   0.321824578961178E+01
  0.172352941176471E+04   0.580204778156997E-03   0.389422682565874E+01
  0.167428571428571E+04   0.597269624573379E-03   0.465913192886659E+01
  0.162777777777778E+04   0.614334470989761E-03   0.530244434714365E+01
  0.158378378378378E+04   0.631399317406143E-03   0.564510298407649E+01
  0.154210526315789E+04   0.648464163822526E-03   0.558979627030278E+01
  0.150256410256410E+04   0.665529010238908E-03   0.514078393797914E+01
  0.146500000000000E+04   0.682593856655290E-03   0.439204895048481E+01
  0.142926829268293E+04   0.699658703071672E-03   0.349178533648631E+01
  0.139523809523810E+04   0.716723549488055E-03   0.259731599857798E+01
  0.136279069767442E+04   0.733788395904437E-03   0.183593350472030E+01
  0.133181818181818E+04   0.750853242320819E-03   0.128141521609947E+01
  0.130222222222222E+04   0.767918088737201E-03   0.950314057760607E+00
  0.127391304347826E+04   0.784982935153584E-03   0.814196566449964E+00
  0.124680851063830E+04   0.802047781569966E-03   0.819857937997977E+00
  0.122083333333333E+04   0.819112627986348E-03   0.909175602683298E+00
  0.119591836734694E+04   0.836177474402730E-03   0.103224967826378E+01
  0.117200000000000E+04   0.853242320819113E-03   0.115199994786826E+01
  0.114901960784314E+04   0.870307167235495E-03   0.124245980654155E+01
  0.112692307692308E+04   0.887372013651877E-03   0.128502353815780E+01
  0.110566037735849E+04   0.904436860068260E-03   0.126647926600124E+01
  0.108518518518519E+04   0.921501706484642E-03   0.118097480177342E+01
  0.106545454545455E+04   0.938566552901024E-03   0.103438399996118E+01
  0.104642857142857E+04   0.955631399317406E-03   0.848208824586561E+00
  0.102807017543860E+04   0.972696245733788E-03   0.659211065041875E+00
  0.101034482758621E+04   0.989761092150171E-03   0.512987285872262E+00
  0.993220338983051E+03   0.100682593856655E-02   0.452196905957443E+00
  0.976666666666667E+03   0.102389078498294E-02   0.503044852862417E+00
  0.960655737704918E+03   0.104095563139932E-02   0.664672651696606E+00
  0.945161290322581E+03   0.105802047781570E-02   0.906135808055530E+00
  0.930158730158730E+03   0.107508532423208E-02   0.117234085417241E+01
  0.915625000000000E+03   0.109215017064846E-02   0.139839747604993E+01
  0.901538461538462E+03   0.110921501706485E-02   0.152704197301497E+01
  0.887878787878788E+03   0.112627986348123E-02   0.152439820857320E+01
  0.874626865671642E+03   0.114334470989761E-02   0.138867593079569E+01
  0.861764705882353E+03   0.116040955631399E-02   0.114909197450020E+01
  0.849275362318841E+03   0.117747440273038E-02   0.855930269587970E+00
  0.837142857142857E+03   0.119453924914676E-02   0.565454054195256E+00
  0.825352112676056E+03   0.121160409556314E-02   0.324488034962088E+00
  0.813888888888889E+03   0.122866894197952E-02   0.159868848957464E+00
  0.802739726027397E+03   0.124573378839590E-02   0.751654531082752E-01
  0.791891891891892E+03   0.126279863481229E-02   0.548217665793904E-01
  0.781333333333333E+03   0.127986348122867E-02   0.731641581743286E-01
  0.771052631578947E+03   0.129692832764505E-02   0.104433453765657E+00
  0.761038961038961E+03   0.131399317406143E-02   0.130281698278968E+00
  0.751282051282051E+03   0.133105802047782E-02   0.142707458244594E+00
  0.741772151898734E+03   0.134812286689420E-02   0.142436494869190E+00
  0.732500000000000E+03   0.136518771331058E-02   0.134569378555660E+00
  0.723456790123457E+03   0.138225255972696E-02   0.124110697792028E+00
  0.714634146341463E+03   0.139931740614334E-02   0.113445893201705E+00
  0.706024096385542E+03   0.141638225255973E-02   0.102699700176783E+00
  0.697619047619048E+03   0.143344709897611E-02   0.921352435631960E-01
  0.689411764705882E+03   0.145051194539249E-02   0.849455101761761E-01
  0.681395348837209E+03   0.146757679180887E-02   0.883971216683167E-01
  0.673563218390805E+03   0.148464163822526E-02   0.112374662752659E+00
  0.665909090909091E+03   0.150170648464164E-02   0.165489779598071E+00
  0.658426966292135E+03   0.151877133105802E-02   0.250333817852089E+00
  0.651111111111111E+03   0.153583617747440E-02   0.360204858503841E+00
  0.643956043956044E+03   0.155290102389078E-02   0.478774380975663E+00
  0.636956521739130E+03   0.156996587030717E-02   0.583620245702208E+00
  0.630107526881720E+03   0.158703071672355E-02   0.652575946593528E+00
  0.623404255319149E+03   0.160409556313993E-02   0.670663314752819E+00
  0.616842105263158E+03   0.162116040955631E-02   0.635147910452010E+00
  0.610416666666667E+03   0.163822525597270E-02   0.556771768153381E+00
  0.604123711340206E+03   0.165529010238908E-02   0.456618244165415E+00
  0.597959183673469E+03   0.167235494880546E-02   0.359709698303032E+00
  0.591919191919192E+03   0.168941979522184E-02   0.287511071561136E+00
  0.586000000000000E+03   0.170648464163823E-02   0.252146330619473E+00
  0.580198019801980E+03   0.172354948805461E-02   0.254190193912156E+00
  0.574509803921569E+03   0.174061433447099E-02   0.284451618697841E+00
  0.568932038834951E+03   0.175767918088737E-02   0.328937021337718E+00
  0.563461538461538E+03   0.177474402730375E-02   0.374695877701019E+00
  0.558095238095238E+03   0.179180887372014E-02   0.414412170668624E+00
  0.552830188679245E+03   0.180887372013652E-02   0.447744847512276E+00
  0.547663551401869E+03   0.182593856655290E-02   0.479632053274912E+00
  0.542592592592593E+03   0.184300341296928E-02   0.515955748020332E+00
  0.537614678899083E+03   0.186006825938567E-02   0.559058221027545E+00
  0.532727272727273E+03   0.187713310580205E-02   0.604962675246040E+00
  0.527927927927928E+03   0.189419795221843E-02   0.643445341740661E+00
  0.523214285714286E+03   0.191126279863481E-02   0.661205052056885E+00
  0.518584070796460E+03   0.192832764505119E-02   0.646671447168851E+00
  0.514035087719298E+03   0.194539249146758E-02   0.594851428947983E+00
  0.509565217391304E+03   0.196245733788396E-02   0.509797327964322E+00
  0.505172413793103E+03   0.197952218430034E-02   0.404265559117098E+00
  0.500854700854701E+03   0.199658703071672E-02   0.296121274114296E+00
  0.496610169491525E+03   0.201365187713311E-02   0.203236538318530E+00
  0.492436974789916E+03   0.203071672354949E-02   0.138326492130437E+00
  0.488333333333333E+03   0.204778156996587E-02   0.105814860400027E+00
  0.484297520661157E+03   0.206484641638225E-02   0.101479877519711E+00
  0.480327868852459E+03   0.208191126279863E-02   0.114866978584683E+00
  0.476422764227642E+03   0.209897610921502E-02   0.133311395037763E+00
  0.472580645161290E+03   0.211604095563140E-02   0.146101122640863E+00
  0.468800000000000E+03   0.213310580204778E-02   0.147255086064307E+00
  0.465079365079365E+03   0.215017064846416E-02   0.136290135727377E+00
  0.461417322834646E+03   0.216723549488055E-02   0.116928176192632E+00
  0.457812500000000E+03   0.218430034129693E-02   0.947834007548350E-01
  0.454263565891473E+03   0.220136518771331E-02   0.750358737841245E-01
  0.450769230769231E+03   0.221843003412969E-02   0.609649407071965E-01
  0.447328244274809E+03   0.223549488054608E-02   0.538420174019839E-01
  0.443939393939394E+03   0.225255972696246E-02   0.537140962352620E-01
  0.440601503759398E+03   0.226962457337884E-02   0.604580881061682E-01
  0.437313432835821E+03   0.228668941979522E-02   0.743934507175073E-01
  0.434074074074074E+03   0.230375426621160E-02   0.959882581182091E-01
  0.430882352941176E+03   0.232081911262799E-02   0.124975764887486E+00
  0.427737226277372E+03   0.233788395904437E-02   0.159352149820792E+00
  0.424637681159420E+03   0.235494880546075E-02   0.195088173240695E+00
  0.421582733812950E+03   0.237201365187713E-02   0.226953944019251E+00
  0.418571428571429E+03   0.238907849829352E-02   0.250444371898960E+00
  0.415602836879433E+03   0.240614334470990E-02   0.264025148930467E+00
  0.412676056338028E+03   0.242320819112628E-02   0.270786916843952E+00
  0.409790209790210E+03   0.244027303754266E-02   0.278561228738775E+00
  0.406944444444444E+03   0.245733788395904E-02   0.298085276982347E+00
  0.404137931034483E+03   0.247440273037543E-02   0.339726923068520E+00
  0.401369863013699E+03   0.249146757679181E-02   0.409446061824452E+00
  0.398639455782313E+03   0.250853242320819E-02   0.506010178673188E+00
  0.395945945945946E+03   0.252559726962457E-02   0.619806542484975E+00
  0.393288590604027E+03   0.254266211604096E-02   0.734548896194456E+00
  0.390666666666667E+03   0.255972696245734E-02   0.830949481985219E+00
  0.388079470198675E+03   0.257679180887372E-02   0.891393933630881E+00
  0.385526315789474E+03   0.259385665529010E-02   0.904331990948070E+00
  0.383006535947712E+03   0.261092150170648E-02   0.866804782756044E+00
  0.380519480519481E+03   0.262798634812287E-02   0.784757511487269E+00
  0.378064516129032E+03   0.264505119453925E-02   0.671034811042357E+00
  0.375641025641026E+03   0.266211604095563E-02   0.542243209250648E+00
  0.373248407643312E+03   0.267918088737201E-02   0.415385041392795E+00
  0.370886075949367E+03   0.269624573378840E-02   0.305342747010048E+00
  0.368553459119497E+03   0.271331058020478E-02   0.223566828817808E+00
  0.366250000000000E+03   0.273037542662116E-02   0.177679476682423E+00
  0.363975155279503E+03   0.274744027303754E-02   0.171473969964422E+00
  0.361728395061728E+03   0.276450511945392E-02   0.204623795942290E+00
  0.359509202453988E+03   0.278156996587031E-02   0.271916058804569E+00
  0.357317073170732E+03   0.279863481228669E-02   0.362544006459749E+00
  0.355151515151515E+03   0.281569965870307E-02   0.460117446224311E+00
  0.353012048192771E+03   0.283276450511945E-02   0.544517428656007E+00
  0.350898203592814E+03   0.284982935153584E-02   0.595760663079816E+00
  0.348809523809524E+03   0.286689419795222E-02   0.599484594909478E+00
  0.346745562130177E+03   0.288395904436860E-02   0.552510834496699E+00
  0.344705882352941E+03   0.290102389078498E-02   0.466416370699164E+00
  0.342690058479532E+03   0.291808873720137E-02   0.367334020864113E+00
  0.340697674418605E+03   0.293515358361775E-02   0.290947329594858E+00
  0.338728323699422E+03   0.295221843003413E-02   0.273548969878199E+00
  0.336781609195402E+03   0.296928327645051E-02   0.341133724198074E+00
  0.334857142857143E+03   0.298634812286689E-02   0.499857990371413E+00
  0.332954545454545E+03   0.300341296928328E-02   0.731159754723782E+00
  0.331073446327684E+03   0.302047781569966E-02   0.993773037346795E+00
  0.329213483146067E+03   0.303754266211604E-02   0.123235210683721E+01
  0.327374301675978E+03   0.305460750853242E-02   0.139150408512621E+01
  0.325555555555556E+03   0.307167235494881E-02   0.143053430622990E+01
  0.323756906077348E+03   0.308873720136519E-02   0.133533609491146E+01
  0.321978021978022E+03   0.310580204778157E-02   0.112333660709145E+01
  0.320218579234973E+03   0.312286689419795E-02   0.840026000279392E+00
  0.318478260869565E+03   0.313993174061433E-02   0.547909552655263E+00
  0.316756756756757E+03   0.315699658703072E-02   0.310980250195454E+00
  0.315053763440860E+03   0.317406143344710E-02   0.179144502869678E+00
  0.313368983957219E+03   0.319112627986348E-02   0.176911787012856E+00
  0.311702127659574E+03   0.320819112627986E-02   0.299262920682201E+00
  0.310052910052910E+03   0.322525597269625E-02   0.515237050635913E+00
  0.308421052631579E+03   0.324232081911263E-02   0.777696840482886E+00
  0.306806282722513E+03   0.325938566552901E-02   0.103576773204583E+01
  0.305208333333333E+03   0.327645051194539E-02   0.124627438262524E+01
  0.303626943005181E+03   0.329351535836178E-02   0.138119165587437E+01
  0.302061855670103E+03   0.331058020477816E-02   0.142963354474653E+01
  0.300512820512820E+03   0.332764505119454E-02   0.139540289121427E+01
  0.298979591836735E+03   0.334470989761092E-02   0.129150846890662E+01
  0.297461928934010E+03   0.336177474402730E-02   0.113489323363214E+01
  0.295959595959596E+03   0.337883959044369E-02   0.942705720216051E+00
  0.294472361809045E+03   0.339590443686007E-02   0.731404423246886E+00
  0.293000000000000E+03   0.341296928327645E-02   0.517933401444598E+00
  0.291542288557214E+03   0.343003412969283E-02   0.320987109302494E+00
  0.290099009900990E+03   0.344709897610922E-02   0.161278174956380E+00
  0.288669950738916E+03   0.346416382252560E-02   0.590736064656878E-01
  0.287254901960784E+03   0.348122866894198E-02   0.296025807265292E-01
  0.285853658536585E+03   0.349829351535836E-02   0.776804271640188E-01
  0.284466019417476E+03   0.351535836177474E-02   0.193761683788229E+00
  0.283091787439613E+03   0.353242320819113E-02   0.353498387472894E+00
  0.281730769230769E+03   0.354948805460751E-02   0.521707328584134E+00
  0.280382775119617E+03   0.356655290102389E-02   0.660382537753217E+00
  0.279047619047619E+03   0.358361774744027E-02   0.738241162364634E+00
  0.277725118483412E+03   0.360068259385666E-02   0.739340632317232E+00
  0.276415094339623E+03   0.361774744027304E-02   0.667371244167945E+00
  0.275117370892019E+03   0.363481228668942E-02   0.544497153607219E+00
  0.273831775700935E+03   0.365187713310580E-02   0.404329681610207E+00
  0.272558139534884E+03   0.366894197952218E-02   0.281844634143478E+00
  0.271296296296296E+03   0.368600682593857E-02   0.202611698265394E+00
  0.270046082949309E+03   0.370307167235495E-02   0.175635599880027E+00
  0.268807339449541E+03   0.372013651877133E-02   0.191550791401780E+00
  0.267579908675799E+03   0.373720136518771E-02   0.227191525246227E+00
  0.266363636363636E+03   0.375426621160410E-02   0.254712651708125E+00
  0.265158371040724E+03   0.377133105802048E-02   0.252358822917966E+00
  0.263963963963964E+03   0.378839590443686E-02   0.213149359344780E+00
  0.262780269058296E+03   0.380546075085324E-02   0.148478140658486E+00
  0.261607142857143E+03   0.382252559726963E-02   0.853453219234634E-01
  0.260444444444444E+03   0.383959044368601E-02   0.579731795025450E-01
  0.259292035398230E+03   0.385665529010239E-02   0.964789843138602E-01
  0.258149779735683E+03   0.387372013651877E-02   0.216191802487729E+00
  0.257017543859649E+03   0.389078498293515E-02   0.411203189138435E+00
  0.255895196506550E+03   0.390784982935154E-02   0.653997202580742E+00
  0.254782608695652E+03   0.392491467576792E-02   0.901592254184945E+00
  0.253679653679654E+03   0.394197952218430E-02   0.110626249823071E+01
  0.252586206896552E+03   0.395904436860068E-02   0.122768299542405E+01
  0.251502145922747E+03   0.397610921501707E-02   0.124288681151525E+01
  0.250427350427350E+03   0.399317406143345E-02   0.115138496597427E+01
  0.249361702127660E+03   0.401023890784983E-02   0.974245126503139E+00
  0.248305084745763E+03   0.402730375426621E-02   0.747408257481610E+00
  0.247257383966245E+03   0.404436860068259E-02   0.512121810992890E+00
  0.246218487394958E+03   0.406143344709898E-02   0.304771345491177E+00
  0.245188284518828E+03   0.407849829351536E-02   0.149258492472567E+00
  0.244166666666667E+03   0.409556313993174E-02   0.537345331620246E-01
  0.243153526970954E+03   0.411262798634812E-02   0.119318876479597E-01
  0.242148760330578E+03   0.412969283276451E-02   0.813072534898544E-02
  0.241152263374486E+03   0.414675767918089E-02   0.238286992323763E-01
  0.240163934426229E+03   0.416382252559727E-02   0.438012968818505E-01
  0.239183673469388E+03   0.418088737201365E-02   0.598599210740907E-01
  0.238211382113821E+03   0.419795221843003E-02   0.715799328717570E-01
  0.237246963562753E+03   0.421501706484642E-02   0.841926849042489E-01
  0.236290322580645E+03   0.423208191126280E-02   0.104857256781225E+00
  0.235341365461847E+03   0.424914675767918E-02   0.138756762225335E+00
  0.234400000000000E+03   0.426621160409556E-02   0.186388040940444E+00
  0.233466135458167E+03   0.428327645051195E-02   0.242826216860230E+00
  0.232539682539683E+03   0.430034129692833E-02   0.299004595041843E+00
  0.231620553359684E+03   0.431740614334471E-02   0.344274808694822E+00
  0.230708661417323E+03   0.433447098976109E-02   0.369489297832626E+00
  0.229803921568627E+03   0.435153583617747E-02   0.369344137392756E+00
  0.228906250000000E+03   0.436860068259386E-02   0.343615871300128E+00
  0.228015564202335E+03   0.438566552901024E-02   0.296818400954034E+00
  0.227131782945736E+03   0.440273037542662E-02   0.236847620968082E+00
  0.226254826254826E+03   0.441979522184300E-02   0.172859073585708E+00
  0.225384615384615E+03   0.443686006825939E-02   0.113279205419027E+00
  0.224521072796935E+03   0.445392491467577E-02   0.643256105292334E-01
  0.223664122137405E+03   0.447098976109215E-02   0.292924395259790E-01
  0.222813688212928E+03   0.448805460750853E-02   0.861041566629292E-02
  0.221969696969697E+03   0.450511945392492E-02   0.458556529686471E-03
  0.221132075471698E+03   0.452218430034130E-02   0.168135583945970E-02
  0.220300751879699E+03   0.453924914675768E-02   0.871422925346038E-02
  0.219475655430712E+03   0.455631399317406E-02   0.183575575490638E-01
  0.218656716417910E+03   0.457337883959044E-02   0.283234578013799E-01
  0.217843866171004E+03   0.459044368600683E-02   0.374840332793339E-01
  0.217037037037037E+03   0.460750853242321E-02   0.458309992730751E-01
  0.216236162361624E+03   0.462457337883959E-02   0.541698124218550E-01
  0.215441176470588E+03   0.464163822525597E-02   0.635800259200517E-01
  0.214652014652015E+03   0.465870307167235E-02   0.747846379926951E-01
  0.213868613138686E+03   0.467576791808874E-02   0.875614940534449E-01
  0.213090909090909E+03   0.469283276450512E-02   0.100435975008570E+00
  0.212318840579710E+03   0.470989761092150E-02   0.110794723571455E+00
  0.211552346570397E+03   0.472696245733788E-02   0.115521322526781E+00
  0.210791366906475E+03   0.474402730375427E-02   0.111939136604636E+00
  0.210035842293907E+03   0.476109215017065E-02   0.989334851881913E-01
  0.209285714285714E+03   0.477815699658703E-02   0.776853773668958E-01
  0.208540925266904E+03   0.479522184300341E-02   0.518013801365302E-01
  0.207801418439716E+03   0.481228668941980E-02   0.266540447874939E-01
  0.207067137809187E+03   0.482935153583618E-02   0.797636828273669E-02
  0.206338028169014E+03   0.484641638225256E-02   0.168876296230491E-03
  0.205614035087719E+03   0.486348122866894E-02   0.482014704358087E-02
  0.204895104895105E+03   0.488054607508532E-02   0.200197177651454E-01
  0.204181184668990E+03   0.489761092150171E-02   0.407613892434102E-01
  0.203472222222222E+03   0.491467576791809E-02   0.604074405228871E-01
  0.202768166089965E+03   0.493174061433447E-02   0.727991762276841E-01
